the location of the crime, 124, char, 2
211617.60057825, 211618.217149375, 5.06500053405762, 4.0, the powa
211617.60057825, 211618.217149375, 5.06500053405762, 4.0, the powi
211618.967420625, 211619.033831833, -5.0, 4.0, the pow
211619.133909375, 211619.215885375, -5.0, 4.0, the powd
211619.334048208, 211619.432552208, -5.0, 4.0, the powe
211620.217385583, 211621.900867292, 15.9549999237061, 4.0, the powep
211620.217385583, 211621.900867292, 15.9549999237061, 4.0, the poweq
211622.584153333, 211622.632793708, -5.0, 4.0, the poweo
211622.734201333, 211622.800937708, -5.0, 4.0, the power
211623.967572333, 211624.167682667, 2.25999975204468, 4.0, the powera
211623.967572333, 211624.167682667, 2.25999975204468, 4.0, the powerb
211624.700849292, 211624.782988083, -5.0, 4.0, the power
211626.517811917, 211627.6846135, 17.1925010681152, 4.0, the power q
211626.517811917, 211627.6846135, 17.1925010681152, 4.0, the power r
211628.417865167, 211628.484563792, -5.0, 4.0, the power p
211628.567838667, 211628.63325675, -5.0, 4.0, the power s
211628.734850292, 211628.81780525, -5.0, 4.0, the power o
211629.734774083, 211630.435026417, 5.3125, 4.0, the power oa
211629.734774083, 211630.435026417, 5.3125, 4.0, the power oi
211631.284738417, 211631.367980083, -5.0, 4.0, the power o
211631.434662917, 211631.516762083, -5.0, 4.0, the power oe
211631.568061667, 211631.651595583, -5.0, 4.0, the power od
211631.718011417, 211631.800408083, -5.0, 4.0, the power of
211633.034879083, 211633.184709708, 1.02250003814697, 4.0, the power ofa
211633.034879083, 211633.184709708, 1.02250003814697, 4.0, the power ofb
211634.034941042, 211634.100238958, -5.0, 4.0, the power of
211635.318323083, 211635.718506333, 4.32250022888184, 4.0, the power of a
211636.251741375, 211637.068298833, 100.0, 1.0, the power of
211637.568415208, 211638.318449667, 5.14750003814697, 4.0, the power of a
211637.568415208, 211638.318449667, 5.14750003814697, 4.0, the power of i
211638.935113875, 211639.033889792, -5.0, 4.0, the power of
211639.152206542, 211639.217258625, -5.0, 4.0, the power of e
211639.318504792, 211639.40056725, -5.0, 4.0, the power of d
211640.152038042, 211640.735333958, 4.23999977111816, 4.0, the power of da
211640.152038042, 211640.735333958, 4.23999977111816, 4.0, the power of di
211641.371258708, 211641.434158042, -5.0, 4.0, the power of d
211641.53540375, 211641.617464958, -5.0, 4.0, the power of dd
211641.685517042, 211641.767392708, -5.0, 4.0, the power of dc
211641.835591625, 211641.917432375, -5.0, 4.0, the power of de
211643.085549458, 211643.735611083, 14.3874988555908, 4.0, the power of dei
211644.652277167, 211644.885574125, 4.07499980926514, 4.0, the power of deia
211646.485781292, 211647.2343875, 12.4074993133545, 4.0, the power of deiai
211646.485781292, 211647.2343875, 12.4074993133545, 4.0, the power of deial
211650.302556083, 211650.469057667, 100.0, 1.0, the power of deia
211650.869177458, 211651.002615875, 100.0, 1.0, the power of dei
211651.502680125, 211651.6526435, 100.0, 1.0, the power of de
211652.335969792, 211653.001533625, 15.3775005340576, 4.0, the power of deo
211652.335969792, 211653.001533625, 15.3775005340576, 4.0, the power of dep
211653.736110625, 211653.818064458, -5.0, 4.0, the power of den
211655.069650625, 211655.81970375, 8.03500080108643, 4.0, the power of deni
211656.8032565, 211656.919785208, -0.792500019073486, 4.0, the power of denia
211657.836550958, 211658.818622792, 12.5725002288818, 4.0, the power of deniai
211657.836550958, 211658.818622792, 12.5725002288818, 4.0, the power of denial
i like baroque and classical music, 125, char, 4
211661.803470292, 211662.186801667, 12.1599998474121, 4.0, i
211663.953556083, 211665.237056333, 3.08500003814697, 4.0, ia
211663.953556083, 211665.237056333, 3.08500003814697, 4.0, ib
211666.02027575, 211666.103545, -5.0, 4.0, i
211667.237149458, 211667.853747833, 12.5725002288818, 4.0, i i
211668.303762, 211668.837239208, 8.11750030517578, 4.0, i ii
211670.137388458, 211670.253709583, 100.0, 1.0, i i
