they might find your comment offensive, 139, char, 1
225465.5849335, 225466.10157225, 100.0, 1.0, only an idiot would l
225465.5849335, 225467.167256583, 12.0774993896484, 4.0, only an idiot would li
225465.5849335, 225467.167256583, 12.0774993896484, 4.0, only an idiot would ll
225468.11838725, 225468.435155, 2.17750024795532, 4.0, only an idiot would lla
225468.11838725, 225468.435155, 2.17750024795532, 4.0, only an idiot would llb
225468.951873167, 225469.067175458, -5.0, 4.0, only an idiot would ll
225469.135120333, 225469.217198667, -5.0, 4.0, only an idiot would llc
225469.285222167, 225469.383897792, -5.0, 4.0, only an idiot would lld
225469.435127458, 225469.533814042, -5.0, 4.0, only an idiot would lle
225469.651750292, 225469.73519, -5.0, 4.0, only an idiot would llf
225472.452008167, 225472.602085208, 1.10500001907349, 4.0, only an idiot would llfa
225473.218789292, 225473.452010458, 100.0, 1.0, only an idiot would llf
225473.218789292, 225473.835258583, 100.0, 1.0, only an idiot would ll
225473.218789292, 225474.152242125, 100.0, 1.0, only an idiot would l
225473.218789292, 225475.235540958, 9.35500049591064, 4.0, only an idiot would li
225476.935645458, 225477.418981583, 5.39499950408936, 4.0, only an idiot would lia
225476.935645458, 225477.418981583, 5.39499950408936, 4.0, only an idiot would lii
225478.252308958, 225478.334552458, -5.0, 4.0, only an idiot would li
225478.419230542, 225478.484538458, -5.0, 4.0, only an idiot would lie
225479.385608375, 225479.502343542, -0.875, 4.0, only an idiot would liea
225479.385608375, 225479.502343542, -0.875, 4.0, only an idiot would lieb
225479.935816625, 225480.034602542, -5.0, 4.0, only an idiot would lie
225480.852547875, 225481.819273083, 9.10750007629395, 4.0, only an idiot would lie i
225480.852547875, 225481.819273083, 9.10750007629395, 4.0, only an idiot would lie h
225483.102809375, 225483.269362792, -0.462500095367432, 4.0, only an idiot would lie ha
225484.78626625, 225484.885946125, 100.0, 1.0, only an idiot would lie h
225484.78626625, 225485.319372542, 100.0, 1.0, only an idiot would lie
225484.78626625, 225486.303084125, 8.03500080108643, 4.0, only an idiot would lie i
225487.753005083, 225488.201881792, 15.0475006103516, 4.0, only an idiot would lie io
225487.753005083, 225488.201881792, 15.0475006103516, 4.0, only an idiot would lie ip
225488.769664458, 225488.901876333, -5.0, 4.0, only an idiot would lie in
225489.953182542, 225490.036772083, -0.875, 4.0, only an idiot would lie ina
225489.953182542, 225490.036772083, -0.875, 4.0, only an idiot would lie inb
225490.519795792, 225490.618615083, -5.0, 4.0, only an idiot would lie in
225491.219950667, 225491.870081833, 2.01250028610229, 4.0, only an idiot would lie in a
225491.219950667, 225491.870081833, 2.01250028610229, 4.0, only an idiot would lie in b
225492.536735375, 225492.652198167, -5.0, 4.0, only an idiot would lie in
225492.770311875, 225492.821339292, -5.0, 4.0, only an idiot would lie in c
225492.886955083, 225492.986777333, -5.0, 4.0, only an idiot would lie in d
225493.103455458, 225493.170205667, -5.0, 4.0, only an idiot would lie in e
225493.77019975, 225493.985591292, -5.0, 4.0, only an idiot would lie in and
225494.836937083, 225495.153549208, 1.02250003814697, 4.0, only an idiot would lie in anda
225496.136892625, 225496.186739667, 100.0, 1.0, only an idiot would lie in and
